25/04/05;25/05/05;Adam.De Jour@rochefourchat.com;Sgt. Pepper's Lonely Hearts Club Band
25/04/15;25/05/15;Amel.Labèche@rochefourchat.com;The Dark Side of the Moon
25/04/19;25/05/19;Anna.Plutoutessatete@rochefourchat.com;The Best of The Doors
25/04/23;25/06/22;Annie.Male@rochefourchat.com;The Best of Elton John
25/04/27;25/05/27;Benny.Soitil@rochefourchat.com;The Best of ABBA
25/05/03;25/06/02;Cathy.Minie@rochefourchat.com;Rumours
25/05/15;25/06/14;Tom.Dereck@rochefourchat.com;The Best of Queen
25/05/25;25/07/24;Renée.Sens@rochefourchat.com;The Joshua Tree
25/05/31;25/07/30;Paul.Amploi@rochefourchat.com;The Immaculate Collection
25/06/06;25/08/05;Jean-Marc.Début@rochefourchat.com;The Bodyguard
25/06/22;25/07/22;Henriette.Coupee@rochefourchat.com;The Marshall Mathers LP
25/07/28;25/09/29;Sarah.Vigote@rochefourchat.com;Back to Black
25/04/11;25/05/11;Alex.Xeption@rochefourchat.com;Led Zeppelin IV
25/04/17;25/05/17;Andy.Vojambon@rochefourchat.com;The Best of The Doors
25/04/25;25/05/25;Bart.Oie@rochefourchat.com;The Best of ABBA
25/05/05;25/06/04;Alain.Christ@rochefourchat.com;Bat Out of Hell
25/05/09;25/06/08;Daisy.Rable@rochefourchat.com;Back in Black
25/05/13;25/06/12;Tom.Dereck@rochefourchat.com;The Best of David Bowie
25/05/17;25/06/16;Tom.Dereck@rochefourchat.com;The Best of Queen
25/05/19;25/06/18;Dick.Técenfote@rochefourchat.com;Thriller
25/05/23;25/07/22;Sarah.Vigote@rochefourchat.com;The Best of Bob Marley
25/06/02;25/08/01;Lorie.Fils@rochefourchat.com;Nevermind
25/07/24;25/09/25;Anna.Plutoutessatete@rochefourchat.com;American Idiot
25/07/26;25/09/27;Anna.Plutoutessatete@rochefourchat.com;The Essential Michael Jackson
25/08/03;25/09/02;Aude.Javel@rochefourchat.com;21
25/04/13;25/05/13;Alphonse.Patamob@rochefourchat.com;Le Parrain
25/04/21;25/05/21;Annie.Male@rochefourchat.com;Le Parrain II
25/05/29;25/07/28;Renée.Sens@rochefourchat.com;Le Grand Bleu
25/06/10;25/07/10;Sandy.Kilo@rochefourchat.com;La Liste de Schindler
25/06/26;25/07/26;Jerry.Kanne@rochefourchat.com;Le Fabuleux Destin d'Amélie Poulain
25/06/28;25/07/28;Alain.Christ@rochefourchat.com;Le Voyage de Chihiro
25/07/20;25/09/21;Bonnie.Dé@rochefourchat.com;Le Pianiste
25/07/22;25/09/23;Henriette.Coupee@rochefourchat.com;Le Seigneur des Anneaux : Le Retour du roi
25/07/30;25/10/01;Adam.De Jour@rochefourchat.com;Avatar
25/08/01;25/10/03;Adam.De Jour@rochefourchat.com;Inception
25/08/05;25/09/04;Sarah.Vigote@rochefourchat.com;Le Loup de Wall Street
25/08/11;25/09/10;Alain.Christ@rochefourchat.com;La La Land
25/03/08;25/04/07;Kelly.Diote@rochefourchat.com;Les Liaisons dangereuses
25/03/10;25/04/09;Jean.Balle@rochefourchat.com;Le Père Goriot
25/03/12;25/04/11;Jean.Balle@rochefourchat.com;Les Trois Mousquetaires
25/03/14;25/04/13;Henriette.Coupee@rochefourchat.com;Les Hauts de Hurlevent
25/03/16;25/04/15;Jacques.Houche@rochefourchat.com;Moby Dick
25/03/18;25/04/17;Larry.Bambelle@rochefourchat.com;Les Misérables
25/03/20;25/04/19;Jerry.Kanne@rochefourchat.com;L'Odyssée
25/03/22;25/04/21;Jessica.Pote@rochefourchat.com;Guerre et Paix
