Date_Emprunt;Date_Retour;Titre;Type;Mel
05/04/25;05/05/25;Sgt. Pepper's Lonely Hearts Club Band;Cassette Audio;Adam.DeJour@rochefourchat.com
15/04/25;15/05/25;The Dark Side of the Moon;Cassette Audio;Amel.Labèche@rochefourchat.com
19/04/25;19/05/25;The Best of The Doors;Cassette Audio;Anna.Plutoutessatete@rochefourchat.com
23/04/25;22/06/25;The Best of Elton John;Cassette Audio;Annie.Male@rochefourchat.com
27/04/25;27/05/25;The Best of ABBA;Cassette Audio;Benny.Soitil@rochefourchat.com
03/05/25;02/06/25;Rumours;Cassette Audio;Cathy.Minie@rochefourchat.com
15/05/25;14/06/25;The Best of Queen;Cassette Audio;Tom.Dereck@rochefourchat.com
25/05/25;24/07/25;The Joshua Tree;Cassette Audio;Renée.Sens@rochefourchat.com
31/05/25;30/07/25;The Immaculate Collection;Cassette Audio;Paul.Amploi@rochefourchat.com
06/06/25;05/08/25;The Bodyguard;Cassette Audio;Jean-Marc.Début@rochefourchat.com
22/06/25;22/07/25;The Marshall Mathers LP;Cassette Audio;Henriette.Coupee@rochefourchat.com
28/07/25;29/09/25;Back to Black;Cassette Audio;Sarah.Vigote@rochefourchat.com
11/04/25;11/05/25;Led Zeppelin IV;CD;Alex.Xeption@rochefourchat.com
17/04/25;17/05/25;The Best of The Doors;CD;Andy.Vojambon@rochefourchat.com
25/04/25;25/05/25;The Best of ABBA;CD;Bart.Oie@rochefourchat.com
05/05/25;04/06/25;Bat Out of Hell;CD;Alain.Christ@rochefourchat.com
09/05/25;08/06/25;Back in Black;CD;Daisy.Rable@rochefourchat.com
13/05/25;12/06/25;The Best of David Bowie;CD;Tom.Dereck@rochefourchat.com
17/05/25;16/06/25;The Best of Queen;CD;Tom.Dereck@rochefourchat.com
19/05/25;18/06/25;Thriller;CD;Dick.Técenfote@rochefourchat.com
23/05/25;22/07/25;The Best of Bob Marley;CD;Sarah.Vigote@rochefourchat.com
02/06/25;01/08/25;Nevermind;CD;Lorie.Fils@rochefourchat.com
24/07/25;25/09/25;American Idiot;CD;Anna.Plutoutessatete@rochefourchat.com
26/07/25;27/09/25;The Essential Michael Jackson;CD;Anna.Plutoutessatete@rochefourchat.com
03/08/25;02/09/25;21;CD;Aude.Javel@rochefourchat.com
13/04/25;13/05/25;Le Parrain;DVD;Alphonse.Patamob@rochefourchat.com
21/04/25;21/05/25;Le Parrain II;DVD;Annie.Male@rochefourchat.com
29/05/25;28/07/25;Le Grand Bleu;DVD;Renée.Sens@rochefourchat.com
10/06/25;10/07/25;La Liste de Schindler;DVD;Sandy.Kilo@rochefourchat.com
26/06/25;26/07/25;Le Fabuleux Destin d'Amélie Poulain;DVD;Jerry.Kanne@rochefourchat.com
28/06/25;28/07/25;Le Voyage de Chihiro;DVD;Alain.Christ@rochefourchat.com
20/07/25;21/09/25;Le Pianiste;DVD;Bonnie.Dé@rochefourchat.com
22/07/25;23/09/25;Le Seigneur des Anneaux : Le Retour du roi;DVD;Henriette.Coupee@rochefourchat.com
30/07/25;01/10/25;Avatar;DVD;Adam.DeJour@rochefourchat.com
01/08/25;03/10/25;Inception;DVD;Adam.DeJour@rochefourchat.com
05/08/25;04/09/25;Le Loup de Wall Street;DVD;Sarah.Vigote@rochefourchat.com
11/08/25;10/09/25;La La Land;DVD;Alain.Christ@rochefourchat.com
08/03/25;07/04/25;Les Liaisons dangereuses;Livre;Kelly.Diote@rochefourchat.com
10/03/25;09/04/25;Le Père Goriot;Livre;Jean.Balle@rochefourchat.com
12/03/25;11/04/25;Les Trois Mousquetaires;Livre;Jean.Balle@rochefourchat.com
14/03/25;13/04/25;Les Hauts de Hurlevent;Livre;Henriette.Coupee@rochefourchat.com
16/03/25;15/04/25;Moby Dick;Livre;Jacques.Houche@rochefourchat.com
18/03/25;17/04/25;Les Misérables;Livre;Larry.Bambelle@rochefourchat.com
20/03/25;19/04/25;L'Odyssée;Livre;Jerry.Kanne@rochefourchat.com
22/03/25;21/04/25;Guerre et Paix;Livre;Jessica.Pote@rochefourchat.com
24/03/25;23/04/25;Le Tour du monde en quatre-vingts jours;Livre;Eddy.Fiant@rochefourchat.com
26/03/25;25/04/25;Les Contes de la bécasse;Livre;Sandy.Kilo@rochefourchat.com
28/03/25;27/04/25;Le Portrait de Dorian Gray;Livre;Alain.Proviste@rochefourchat.com
30/03/25;29/04/25;Le Meilleur des mondes;Livre;Aude.Javel@rochefourchat.com
01/04/25;01/05/25;Le Petit Prince;Livre;Abel.Lémir@rochefourchat.com
03/04/25;03/05/25;1984;Livre;Adam.Labrosse@rochefourchat.com
27/05/25;26/07/25;Le Grand Bleu;VHS;Renée.Sens@rochefourchat.com
04/06/25;03/08/25;Le Silence des agneaux;VHS;John.Deuf@rochefourchat.com
12/06/25;12/07/25;Le Roi Lion;VHS;Sandy.Kilo@rochefourchat.com
14/06/25;14/07/25;Forrest Gump;VHS;Sandy.Kilo@rochefourchat.com
16/06/25;16/07/25;Titanic;VHS;Jacques.Houche@rochefourchat.com
18/06/25;18/07/25;Gladiator;VHS;Jerry.Kanne@rochefourchat.com
30/06/25;30/07/25;Le Voyage de Chihiro;VHS;Jacques.Houche@rochefourchat.com
04/07/25;03/08/25;Le Fabuleux Destin d'Amélie Poulain;VHS;Lorie.Fils@rochefourchat.com
06/07/25;05/08/25;Le Voyage de Chihiro;VHS;Aude.Javel@rochefourchat.com
10/07/25;09/08/25;Le Fabuleux Destin d'Amélie Poulain;VHS;Jacques.Houche@rochefourchat.com
18/07/25;19/09/25;Le Pianiste;VHS;Bonnie.Dé@rochefourchat.com
07/08/25;06/09/25;La Reine des neiges;VHS;Lorie.Fils@rochefourchat.com
13/08/25;12/09/25;Le Roi Lion;VHS;Sarah.Vigote@rochefourchat.com
07/04/25;07/05/25;The Beatles;Vinyle;Adam.DeJour@rochefourchat.com
09/04/25;09/05/25;Abbey Road;Vinyle;Ahmed.Halord@rochefourchat.com
29/04/25;29/05/25;Hotel California;Vinyle;Bonnie.Dé@rochefourchat.com
01/05/25;31/05/25;Their Greatest Hits (1971-1975);Vinyle;Bonnie.Dé@rochefourchat.com
07/05/25;06/06/25;The Wall;Vinyle;Claire.Voyant@rochefourchat.com
11/05/25;10/06/25;The Best of David Bowie;Vinyle;Debbie.Lemental@rochefourchat.com
21/05/25;20/07/25;Born in the U.S.A.;Vinyle;Théodore.Toir@rochefourchat.com
08/06/25;07/08/25;The Chronic;Vinyle;Gérard.Mensoif@rochefourchat.com
20/06/25;20/07/25;Hybrid Theory;Vinyle;Henriette.Coupee@rochefourchat.com
02/07/25;01/08/25;The Very Best of Prince;Vinyle;Lorie.Fils@rochefourchat.com
08/07/25;07/08/25;The Very Best of Prince;Vinyle;Aude.Javel@rochefourchat.com
14/07/25;15/09/25;The Very Best of Prince;Vinyle;Jerry.Kanne@rochefourchat.com
16/07/25;17/09/25;The Eminem Show;Vinyle;Jerry.Kanne@rochefourchat.com
