2025-04-05;2025-05-05;Sgt. Pepper's Lonely Hearts Club Band;Cassette Audio;Adam.DeJour@rochefourchat.com
2025-04-15;2025-05-15;The Dark Side of the Moon;Cassette Audio;Amel.Labèche@rochefourchat.com
2025-04-19;2025-05-19;The Best of The Doors;Cassette Audio;Anna.Plutoutessatete@rochefourchat.com
2025-04-23;2025-06-22;The Best of Elton John;Cassette Audio;Annie.Male@rochefourchat.com
2025-04-27;2025-05-27;The Best of ABBA;Cassette Audio;Benny.Soitil@rochefourchat.com
2025-05-03;2025-06-02;Rumours;Cassette Audio;Cathy.Minie@rochefourchat.com
2025-05-15;2025-06-14;The Best of Queen;Cassette Audio;Tom.Dereck@rochefourchat.com
2025-05-25;2025-07-24;The Joshua Tree;Cassette Audio;Renée.Sens@rochefourchat.com
2025-05-31;2025-07-30;The Immaculate Collection;Cassette Audio;Paul.Amploi@rochefourchat.com
2025-06-06;2025-08-05;The Bodyguard;Cassette Audio;Jean-Marc.Début@rochefourchat.com
2025-06-22;2025-07-22;The Marshall Mathers LP;Cassette Audio;Henriette.Coupee@rochefourchat.com
2025-07-28;2025-09-29;Back to Black;Cassette Audio;Sarah.Vigote@rochefourchat.com
2025-04-11;2025-05-11;Led Zeppelin IV;CD;Alex.Xeption@rochefourchat.com
2025-04-17;2025-05-17;The Best of The Doors;CD;Andy.Vojambon@rochefourchat.com
2025-04-25;2025-05-25;The Best of ABBA;CD;Bart.Oie@rochefourchat.com
2025-05-05;2025-06-04;Bat Out of Hell;CD;Alain.Christ@rochefourchat.com
2025-05-09;2025-06-08;Back in Black;CD;Daisy.Rable@rochefourchat.com
2025-05-13;2025-06-12;The Best of David Bowie;CD;Tom.Dereck@rochefourchat.com
2025-05-17;2025-06-16;The Best of Queen;CD;Tom.Dereck@rochefourchat.com
2025-05-19;2025-06-18;Thriller;CD;Dick.Técenfote@rochefourchat.com
2025-05-23;2025-07-22;The Best of Bob Marley;CD;Sarah.Vigote@rochefourchat.com
2025-06-02;2025-08-01;Nevermind;CD;Lorie.Fils@rochefourchat.com
2025-07-24;2025-09-25;American Idiot;CD;Anna.Plutoutessatete@rochefourchat.com
2025-07-26;2025-09-27;The Essential Michael Jackson;CD;Anna.Plutoutessatete@rochefourchat.com
2025-08-03;2025-09-02;21;CD;Aude.Javel@rochefourchat.com
2025-04-13;2025-05-13;Le Parrain;DVD;Alphonse.Patamob@rochefourchat.com
2025-04-21;2025-05-21;Le Parrain II;DVD;Annie.Male@rochefourchat.com
2025-05-29;2025-07-28;Le Grand Bleu;DVD;Renée.Sens@rochefourchat.com
2025-06-10;2025-07-10;La Liste de Schindler;DVD;Sandy.Kilo@rochefourchat.com
2025-06-26;2025-07-26;Le Fabuleux Destin d'Amélie Poulain;DVD;Jerry.Kanne@rochefourchat.com
2025-06-28;2025-07-28;Le Voyage de Chihiro;DVD;Alain.Christ@rochefourchat.com
2025-07-20;2025-09-21;Le Pianiste;DVD;Bonnie.Dé@rochefourchat.com
2025-07-22;2025-09-23;Le Seigneur des Anneaux : Le Retour du roi;DVD;Henriette.Coupee@rochefourchat.com
2025-07-30;2025-10-01;Avatar;DVD;Adam.DeJour@rochefourchat.com
2025-08-01;2025-10-03;Inception;DVD;Adam.DeJour@rochefourchat.com
2025-08-05;2025-09-04;Le Loup de Wall Street;DVD;Sarah.Vigote@rochefourchat.com
2025-08-11;2025-09-10;La La Land;DVD;Alain.Christ@rochefourchat.com
2025-03-08;2025-04-07;Les Liaisons dangereuses;Livre;Kelly.Diote@rochefourchat.com
2025-03-10;2025-04-09;Le Père Goriot;Livre;Jean.Balle@rochefourchat.com
2025-03-12;2025-04-11;Les Trois Mousquetaires;Livre;Jean.Balle@rochefourchat.com
2025-03-14;2025-04-13;Les Hauts de Hurlevent;Livre;Henriette.Coupee@rochefourchat.com
2025-03-16;2025-04-15;Moby Dick;Livre;Jacques.Houche@rochefourchat.com
2025-03-18;2025-04-17;Les Misérables;Livre;Larry.Bambelle@rochefourchat.com
2025-03-20;2025-04-19;L'Odyssée;Livre;Jerry.Kanne@rochefourchat.com
2025-03-22;2025-04-21;Guerre et Paix;Livre;Jessica.Pote@rochefourchat.com
2025-03-24;2025-04-23;Le Tour du monde en quatre-vingts jours;Livre;Eddy.Fiant@rochefourchat.com
2025-03-26;2025-04-25;Les Contes de la bécasse;Livre;Sandy.Kilo@rochefourchat.com
2025-03-28;2025-04-27;Le Portrait de Dorian Gray;Livre;Alain.Proviste@rochefourchat.com
2025-03-30;2025-04-29;Le Meilleur des mondes;Livre;Aude.Javel@rochefourchat.com
2025-04-01;2025-05-01;Le Petit Prince;Livre;Abel.Lémir@rochefourchat.com
2025-04-03;2025-05-03;1984;Livre;Adam.Labrosse@rochefourchat.com
2025-05-27;2025-07-26;Le Grand Bleu;VHS;Renée.Sens@rochefourchat.com
2025-06-04;2025-08-03;Le Silence des agneaux;VHS;John.Deuf@rochefourchat.com
2025-06-12;2025-07-12;Le Roi Lion;VHS;Sandy.Kilo@rochefourchat.com
2025-06-14;2025-07-14;Forrest Gump;VHS;Sandy.Kilo@rochefourchat.com
2025-06-16;2025-07-16;Titanic;VHS;Jacques.Houche@rochefourchat.com
2025-06-18;2025-07-18;Gladiator;VHS;Jerry.Kanne@rochefourchat.com
2025-06-30;2025-07-30;Le Voyage de Chihiro;VHS;Jacques.Houche@rochefourchat.com
2025-07-04;2025-08-03;Le Fabuleux Destin d'Amélie Poulain;VHS;Lorie.Fils@rochefourchat.com
2025-07-06;2025-08-05;Le Voyage de Chihiro;VHS;Aude.Javel@rochefourchat.com
2025-07-10;2025-08-09;Le Fabuleux Destin d'Amélie Poulain;VHS;Jacques.Houche@rochefourchat.com
2025-07-18;2025-09-19;Le Pianiste;VHS;Bonnie.Dé@rochefourchat.com
2025-08-07;2025-09-06;La Reine des neiges;VHS;Lorie.Fils@rochefourchat.com
2025-08-13;2025-09-12;Le Roi Lion;VHS;Sarah.Vigote@rochefourchat.com
